ch1,ch2,frequency
0.004188214929178785,0.004188165422563891,-7222.309553375169
0.004241092122893357,0.004241042650372349,5493.347998708165
0.003564146377334653,0.0035641046435930905,18209.0055507915
0.0024645571591574334,0.002464527433084015,30924.66310287483
0.001374643437112735,0.0013746254288411256,43640.32065495817
0.0005956071173763081,0.0005955976481647216,56355.9782070415
0.00018654664297038993,0.00018654202089576528,69071.63575912484
3.608839331701947e-05,3.608614656480095e-05,81787.29331120817
2.6182286435564905e-06,2.617394168830373e-06,94502.95086329151
2.203888454717011e-07,2.2488199216837187e-07,107218.60841537484
2.3103484244684753e-07,2.3607338533671489e-07,119934.26596745817
2.1982579175219968e-07,2.2547387048919051e-07,132649.9235195415
2.2302608895161036e-07,2.2957246623882307e-07,145365.58107162482
2.2035389064620177e-07,2.291462258780438e-07,158081.23862370817
2.2589632651877938e-07,2.3863508243184124e-07,170796.8961757915
2.085608182989684e-07,2.1160901487410716e-07,183512.55372787485
2.298570459407298e-07,2.3088376641394356e-07,196228.21127995817
2.634717675576649e-07,2.719097942098405e-07,208943.8688320415
3.573668556851867e-07,3.6359085873778807e-07,221659.52638412485
4.3075467636148506e-07,4.3136421973311445e-07,234375.18393620817
4.605721565779181e-07,4.5951351750519604e-07,247090.8414882915
4.1391166488867063e-07,4.1477779020464315e-07,259806.49904037485
3.2443143653591353e-07,3.2860150641426717e-07,272522.1565924582
2.38518678891572e-07,2.406036323783864e-07,285237.8141445415
1.94630833410833e-07,1.9594590660955485e-07,297953.4716966248
1.7185091853391792e-07,1.7935616581591433e-07,310669.1292487082
1.6565424706808382e-07,1.7168386922661233e-07,323384.7868007915
1.5981084907891222e-07,1.6349903845159432e-07,336100.4443528748
1.5602039077866212e-07,1.5954808717859077e-07,348816.1019049582
1.5364125810683621e-07,1.570084741580192e-07,361531.7594570415
1.535711761390674e-07,1.5568763001778498e-07,374247.4170091248
1.4933249557690797e-07,1.5263531864850373e-07,386963.0745612082
1.4785174038271148e-07,1.5102617592768837e-07,399678.7321132915
1.4993018517417838e-07,1.505393967905833e-07,412394.3896653748
1.5184816458692992e-07,1.5473379271463765e-07,425110.0472174582
1.5184232583691644e-07,1.577095440861047e-07,437825.7047695415
1.513876540897365e-07,1.5872941029188594e-07,450541.3623216249
1.5083684823624706e-07,1.5843479362030456e-07,463257.0198737082
1.517286847027422e-07,1.605765860291645e-07,475972.6774257915
1.5274868599581612e-07,1.628143916417104e-07,488688.3349778749
1.5181325196835072e-07,1.6293639352937642e-07,501403.9925299582
1.4552488886953863e-07,1.5892343590642567e-07,514119.6500820415
1.3628816223309393e-07,1.4901309177367208e-07,526835.3076341249
1.2839830859275192e-07,1.3897530355920427e-07,539550.9651862081
1.2371408943517413e-07,1.3284841987274525e-07,552266.6227382915
1.239337392345563e-07,1.303435524869254e-07,564982.2802903749
1.2424952209701307e-07,1.2940922626457023e-07,577697.9378424581
1.2331546829026918e-07,1.2799427763808085e-07,590413.5953945415
1.198499024035763e-07,1.251694435263019e-07,603129.2529466249
1.1657686951127062e-07,1.2151167927068122e-07,615844.9104987081
1.1384882045914147e-07,1.200972077345517e-07,628560.5680507915
1.1153752600864829e-07,1.192596012077532e-07,641276.2256028749
1.1419270419751977e-07,1.2223489520581873e-07,653991.8831549583
1.2549832640160658e-07,1.3328390039077952e-07,666707.5407070415
1.4945819517376082e-07,1.5628233141642128e-07,679423.1982591249
1.7703645755901156e-07,1.823545994256051e-07,692138.8558112083
1.9122170067079677e-07,1.9525821169182545e-07,704854.5133632915
1.8154011217765543e-07,1.8503188423118718e-07,717570.1709153749
1.5398461110269542e-07,1.5750828641396995e-07,730285.8284674583
1.2627100938301092e-07,1.3024300460459727e-07,743001.4860195415
1.0986642885344339e-07,1.1499139346468273e-07,755717.1435716249
1.0252751718205296e-07,1.0781244074813817e-07,768432.8011237083
9.823187706831951e-08,1.0521412330271587e-07,781148.4586757915
9.576212570438672e-08,1.0248789373044734e-07,793864.1162278749
9.579061189212748e-08,1.013311588186865e-07,806579.7737799583
9.232836478853135e-08,9.841313388663088e-08,819295.4313320415
9.216484147816786e-08,9.921010385662406e-08,832011.0888841249
8.969569745576517e-08,9.747722351137066e-08,844726.7464362083
8.693854549602976e-08,9.369509544065675e-08,857442.4039882915
8.459786548967789e-08,9.125810622467145e-08,870158.0615403749
8.328197629173794e-08,9.04862995003658e-08,882873.7190924583
8.324690933806946e-08,9.057904096823019e-08,895589.3766445415
8.247546105206808e-08,9.144018507946678e-08,908305.0341966249
8.256849721259691e-08,9.30376319890681e-08,921020.6917487083
8.371801037084286e-08,9.508317047854811e-08,933736.3493007915
8.493147068747586e-08,9.591205660749254e-08,946452.0068528749
8.34878338315996e-08,9.379576423565447e-08,959167.6644049583
8.098794156840452e-08,8.940684616622681e-08,971883.3219570415
7.877632366818081e-08,8.524232016593479e-08,984598.9795091249
7.602072160371937e-08,8.146220483430138e-08,997314.6370612083
7.211305025020933e-08,7.758634434376715e-08,1010030.2946132915
6.990200466081233e-08,7.585519736544196e-08,1022745.9521653749
6.980346914025997e-08,7.505233156071052e-08,1035461.6097174583
7.00569893710483e-08,7.549768749488486e-08,1048177.2672695415
7.088654806906089e-08,7.629504767342716e-08,1060892.924821625
7.033997298445795e-08,7.619630376523858e-08,1073608.5823737083
6.91534274049067e-08,7.548955818980792e-08,1086324.2399257915
6.761497560139938e-08,7.507086264121293e-08,1099039.897477875
6.588464698572681e-08,7.404423172655261e-08,1111755.5550299583
6.431443139664828e-08,7.17697858819314e-08,1124471.2125820415
6.386419413483934e-08,6.978347064533297e-08,1137186.870134125
6.446982549624996e-08,6.978098729891868e-08,1149902.5276862083
6.501142937360324e-08,7.013043956050113e-08,1162618.1852382915
6.622484427683046e-08,7.12157021063887e-08,1175333.842790375
6.596656537302164e-08,7.146911107823974e-08,1188049.5003424583
6.462063401245941e-08,7.015497544025915e-08,1200765.1578945415
6.189926189572122e-08,6.82011505745104e-08,1213480.815446625
6.029767041360789e-08,6.69192183051818e-08,1226196.4729987083
5.920798729843192e-08,6.47417429994739e-08,1238912.1305507915
5.834228517048268e-08,6.282031144453288e-08,1251627.788102875
5.680496646848133e-08,6.105894199793404e-08,1264343.4456549583
5.552362777389012e-08,5.964951946906976e-08,1277059.1032070415
5.385859123335083e-08,5.887984944216086e-08,1289774.760759125
5.318509787949168e-08,5.852599465993372e-08,1302490.4183112083
5.334314207956315e-08,5.8907714454769384e-08,1315206.0758632915
5.302149012535445e-08,5.928941055030588e-08,1327921.733415375
5.263590708933074e-08,5.800822324425636e-08,1340637.3909674583
5.1003252052095164e-08,5.685503582985905e-08,1353353.0485195415
4.940268885541251e-08,5.586181063456676e-08,1366068.706071625
4.901727936863322e-08,5.579592465640245e-08,1378784.3636237083
4.946321354427064e-08,5.6273597826707385e-08,1391500.0211757915
4.990911934215625e-08,5.652743305376826e-08,1404215.678727875
5.019513969949917e-08,5.5566339361611185e-08,1416931.3362799583
5.0513113161630506e-08,5.4988958631648394e-08,1429646.9938320415
4.955229826107403e-08,5.505100490681902e-08,1442362.651384125
4.859155190939112e-08,5.4729432150577363e-08,1455078.3089362083
4.740710474925317e-08,5.450378529836592e-08,1467793.9664882915
4.7181719200046066e-08,5.354294014910377e-08,1480509.624040375
4.670063271064816e-08,5.2102690840764196e-08,1493225.2815924583
4.621958144155195e-08,5.088628883468237e-08,1505940.9391445415
4.5323050747638075e-08,4.998959899104792e-08,1518656.596696625
4.449050656291218e-08,4.9156895900688895e-08,1531372.2542487083
4.2795088187938183e-08,4.8452093870735096e-08,1544087.9118007915
4.212248792415934e-08,4.899375871603662e-08,1556803.569352875
4.199322676630953e-08,4.854468147490424e-08,1569519.2269049583
4.2055719868337675e-08,4.7871936445873736e-08,1582234.8844570415
4.1862561614614185e-08,4.729510777834274e-08,1594950.542009125
4.096640683823708e-08,4.65585450571852e-08,1607666.1995612083
4.093307251405791e-08,4.582203433658006e-08,1620381.8571132915
4.029263692896776e-08,4.559682228202776e-08,1633097.514665375
4.048299452961967e-08,4.617042391105005e-08,1645813.1722174583
4.163186473915986e-08,4.7319103360472564e-08,1658528.8297695415
4.1055375750532306e-08,4.680632332648236e-08,1671244.487321625
4.0702567880908536e-08,4.7283987805137084e-08,1683960.1448737083
4.057341863969368e-08,4.779357030313523e-08,1696675.8024257915
4.022065448427562e-08,4.7568351490934396e-08,1709391.459977875
3.99318067329845e-08,4.7119531944921707e-08,1722107.1175299583
4.018603471626692e-08,4.695824406431825e-08,1734822.7750820415
3.957777808528752e-08,4.6381706036995544e-08,1747538.432634125
3.9065390566299777e-08,4.650793840108952e-08,1760254.0901862083
3.842527409295858e-08,4.605922297759457e-08,1772969.7477382915
3.765744124490674e-08,4.474815537244643e-08,1785685.405290375
3.64744526581514e-08,4.295809003959162e-08,1798401.0628424583
3.67287560541479e-08,4.228597653538418e-08,1811116.7203945415
3.7334351541261436e-08,4.202909035782724e-08,1823832.377946625
3.78121653082286e-08,4.22193264674647e-08,1836548.0354987083
3.870510337392345e-08,4.250535692301329e-08,1849263.6930507915
3.915091087142844e-08,4.256783376151232e-08,1861979.350602875
3.8862236420878035e-08,4.3492494663299816e-08,1874695.0081549583
3.8637446311476064e-08,4.4576756240347595e-08,1887410.6657070415
3.806143471837581e-08,4.4990403958214354e-08,1900126.323259125
3.729388434846224e-08,4.4222628272791274e-08,1912841.9808112083
3.639867108900999e-08,4.3422976036011914e-08,1925557.6383632915
3.5854721597630574e-08,4.259145023262617e-08,1938273.295915375
3.5183102776448856e-08,4.1632274065779765e-08,1950988.9534674583
3.473500806791719e-08,4.086471537402022e-08,1963704.6110195415
3.444656667932928e-08,4.0544151698561804e-08,1976420.268571625
3.438161011683241e-08,4.0638616229087896e-08,1989135.9261237083
3.418896956239454e-08,4.0509619397459084e-08,2001851.5836757915
3.351752136762303e-08,3.974220390732445e-08,2014567.241227875
3.3452606022304014e-08,3.855987411731226e-08,2027282.8987799583
3.348345472369219e-08,3.8016010081904093e-08,2039998.5563320415
3.287593545118109e-08,3.6833815058896095e-08,2052714.213884125
3.268338237438376e-08,3.565169737518229e-08,2065429.8714362083
3.223551242061433e-08,3.542714731374446e-08,2078145.5289882915
3.233023326802357e-08,3.638348067674913e-08,2090861.186540375
3.274409292209296e-08,3.772272693363926e-08,2103576.8440924585
3.3094101340421656e-08,3.902997679781648e-08,2116292.5016445415
3.2646281773143226e-08,3.886918005834648e-08,2129008.159196625
3.197511313103256e-08,3.8261637369369306e-08,2141723.8167487085
3.120825761989701e-08,3.7845596663801493e-08,2154439.4743007915
3.04733612953456e-08,3.781249542930318e-08,2167155.131852875
3.047240308805658e-08,3.7843214725062935e-08,2179870.7894049585
3.047144646898199e-08,3.7842026714358786e-08,2192586.4469570415
3.040667889045351e-08,3.7745121854571356e-08,2205302.104509125
3.091621185028118e-08,3.6595350869218286e-08,2218017.7620612085
3.0883341762344395e-08,3.534994077755949e-08,2230733.4196132915
3.0627152289922135e-08,3.467886931160975e-08,2243449.077165375
3.1104732996489496e-08,3.4390668892528894e-08,2256164.7347174585
3.078475308373708e-08,3.4549106310556743e-08,2268880.3922695415
3.078379767727161e-08,3.448423346023897e-08,2281596.049821625
3.0782843874410843e-08,3.384517860181337e-08,2294311.7073737085
3.0431010008239235e-08,3.291908000891288e-08,2307027.3649257915
2.991971267564466e-08,3.237580849230206e-08,2319743.022477875
2.995068659966662e-08,3.2311017599001364e-08,2332458.6800299585
2.99816601183263e-08,3.294793074705433e-08,2345174.3375820415
2.988505562440094e-08,3.371238398611717e-08,2357889.995134125
2.8991122947597275e-08,3.41897511549222e-08,2370605.6526862085
2.7873999391170954e-08,3.412491916310403e-08,2383321.3102382915
2.7394775055874256e-08,3.3677395179281976e-08,2396036.967790375
2.7999858349984134e-08,3.361258621968482e-08,2408752.6253424585
2.7711999373043828e-08,3.377100959269668e-08,2421468.2828945415
2.8699701609670846e-08,3.4503419046293175e-08,2434183.940446625
2.8985818288439994e-08,3.399216974199894e-08,2446899.5979987085
2.9686445145288985e-08,3.4023025746534206e-08,2459615.2555507915
2.990874619034716e-08,3.357559673607203e-08,2472330.913102875
2.9238263875417483e-08,3.344704340819295e-08,2485046.5706549585
2.9109846950923968e-08,3.3892406690944337e-08,2497762.2282070415
2.9140853086332227e-08,3.421021374358258e-08,2510477.885759125
2.9363149696830945e-08,3.4113539821508263e-08,2523193.5433112085
2.9585434427513638e-08,3.4048754276491986e-08,2535909.2008632915
2.9584548006983212e-08,3.366517531829124e-08,2548624.858415375
2.9424268388850405e-08,3.363228943687668e-08,2561340.5159674585
2.897709786931527e-08,3.3726919192228336e-08,2574056.1735195415
2.8784971848307156e-08,3.401280726704733e-08,2586771.831071625
2.8146593363728047e-08,3.4203051731914154e-08,2599487.4886237085
2.7603879701659063e-08,3.353265755905928e-08,2612203.1461757915
2.6933702823611073e-08,3.1969827138558466e-08,2624918.803727875
2.6486679838277347e-08,3.066207702096607e-08,2637634.4612799585
2.6326535498569183e-08,2.9832490589177665e-08,2650350.1188320415
2.6803829513411228e-08,2.9959096007855597e-08,2663065.776384125
2.6420594855411607e-08,3.011756590876233e-08,2675781.4339362085
2.6419818115804815e-08,3.059472302915877e-08,2688497.0914882915
2.6610254156799298e-08,3.0657562274060986e-08,2701212.749040375
2.683254800160619e-08,3.062479647214198e-08,2713928.4065924585
2.702296347951559e-08,3.081510104326837e-08,2726644.0641445415
2.7532026906898496e-08,3.1164724901558714e-08,2739359.721696625
2.800919717786006e-08,3.148246508728753e-08,2752075.3792487085
2.7880926661504812e-08,3.202323576549981e-08,2764791.0368007915
2.765707603114886e-08,3.230907269076606e-08,2777506.694352875
2.7528825982836454e-08,3.2053239512423007e-08,2790222.3519049585
2.7018251007346897e-08,3.1669978185498605e-08,2802938.0094570415
2.6858169386150134e-08,3.1732783758725425e-08,2815653.667009125
2.6602520438340148e-08,3.1222119795896226e-08,2828369.3245612085
2.6729188225148654e-08,3.0552194884287915e-08,2841084.9821132915
2.6473560389706807e-08,3.0009739936346346e-08,2853800.639665375
2.596309608622336e-08,2.933989140541315e-08,2866516.2972174585
2.5643796230705843e-08,2.8988639217319653e-08,2879231.9547695415
