ch1,ch2,frequency
2.6465343595284793e-06,2.630759890734958e-06,94502.95086329151
2.3063654943508462e-07,2.4136531596010035e-07,107218.60841537484
2.3152141450272858e-07,2.3397999248048477e-07,119934.26596745818
2.1018411202652262e-07,2.174956966618065e-07,132649.9235195415
2.2476644556356952e-07,2.3064102311807188e-07,145365.58107162485
2.2146919380123673e-07,2.2708813255127533e-07,158081.23862370817
2.3493259023375886e-07,2.3659266560978215e-07,170796.8961757915
2.2263285886183063e-07,2.3278445753089608e-07,183512.55372787485
2.3641438925649817e-07,2.5081121474322256e-07,196228.2112799582
2.6787894147142403e-07,2.680066244749853e-07,208943.8688320415
3.480501814654342e-07,3.4942271978192484e-07,221659.52638412485
4.166607344229175e-07,4.229167099052901e-07,234375.1839362082
4.4639102863075747e-07,4.520722529333654e-07,247090.8414882915
4.043405145371834e-07,4.060001330355601e-07,259806.49904037485
3.165598454013165e-07,3.184747149167998e-07,272522.1565924582
2.2731804540191687e-07,2.3229651164966345e-07,285237.8141445415
1.854087206543086e-07,1.9265274467987282e-07,297953.4716966249
1.7228617557870774e-07,1.7713661060148301e-07,310669.1292487082
1.6848223933813622e-07,1.7282193338169428e-07,323384.7868007915
1.5743542887244682e-07,1.6688027827379347e-07,336100.4443528749
1.4977163009962088e-07,1.5819508777884965e-07,348816.1019049582
1.4440565081606516e-07,1.5155255001686026e-07,361531.7594570415
1.4296435587147549e-07,1.5004716930675054e-07,374247.4170091249
1.40534176245019e-07,1.503604024160669e-07,386963.0745612082
1.4119869506300104e-07,1.485042759869566e-07,399678.7321132915
1.4479804967823555e-07,1.5079541326922657e-07,412394.3896653749
1.426232989558778e-07,1.4976881874252885e-07,425110.0472174582
1.3977885594954268e-07,1.472111867200227e-07,437825.7047695415
1.406347125724373e-07,1.4628051527720514e-07,450541.3623216249
1.400870879419573e-07,1.443930435139437e-07,463257.0198737082
1.3727498530427116e-07,1.416126707135139e-07,475972.6774257915
1.3401659537425313e-07,1.394384947587422e-07,488688.3349778749
1.2938709195124408e-07,1.3506392270483576e-07,501403.9925299582
1.252044236429197e-07,1.326669389593851e-07,514119.6500820415
1.2437051743580278e-07,1.3377803093415195e-07,526835.3076341249
1.2522678004476724e-07,1.3533548625158954e-07,539550.9651862083
1.2381897471055092e-07,1.337359721699847e-07,552266.6227382915
1.201473592551322e-07,1.2827835092446839e-07,564982.2802903749
1.1583832750569813e-07,1.2180082881138642e-07,577697.9378424583
1.1248614263335416e-07,1.161846665974894e-07,590413.5953945415
1.0891103849637145e-07,1.1442673219071346e-07,603129.2529466249
1.0865187738650193e-07,1.1537885688431645e-07,615844.9104987083
1.0852026209806354e-07,1.1598023311185521e-07,628560.5680507915
1.071772594259499e-07,1.1619902159654593e-07,641276.2256028749
1.0695008680364233e-07,1.1613089902404441e-07,653991.8831549583
1.129070015870141e-07,1.2151369001967753e-07,666707.5407070415
1.2944611763728695e-07,1.3441868457927583e-07,679423.1982591249
1.5054201701263054e-07,1.5239072270535393e-07,692138.8558112083
1.6115011411878e-07,1.6181944805796007e-07,704854.5133632915
1.53048647899136e-07,1.5432352210071146e-07,717570.1709153749
1.3184894950652772e-07,1.3513162821070283e-07,730285.8284674583
1.1160692140084264e-07,1.177896006560578e-07,743001.4860195415
9.86323762365967e-08,1.0761923571922037e-07,755717.1435716249
9.053446818270968e-08,1.0130555239452098e-07,768432.8011237083
8.715332331399958e-08,9.795587417449166e-08,781148.4586757915
8.90301173813329e-08,9.916310855071867e-08,793864.1162278749
9.151218493545573e-08,1.0037025854689607e-07,806579.7737799583
8.82588420509517e-08,9.533229437416877e-08,819295.4313320415
8.930700873097998e-08,9.695370230766039e-08,832011.0888841249
8.43654131763925e-08,9.182066494500121e-08,844726.7464362083
8.162244805752285e-08,8.9300437902122e-08,857442.4039882915
7.852925373528472e-08,8.674854276721311e-08,870158.0615403749
7.890865329933542e-08,8.623565784469155e-08,882873.7190924583
8.005255800187388e-08,8.639177767651491e-08,895589.3766445415
8.052744457275411e-08,8.64523277573001e-08,908305.0341966249
8.176677360456461e-08,8.689511429421592e-08,921020.6917487083
8.262379364814804e-08,8.714676153482383e-08,933736.3493007915
8.23659799228113e-08,8.701618605921131e-08,946452.0068528749
7.965577224130882e-08,8.503834941395223e-08,959167.6644049583
7.618140353111138e-08,8.032169720128049e-08,971883.3219570415
7.321684682510837e-08,7.67518924960901e-08,984598.9795091249
7.06028157111384e-08,7.442434836126768e-08,997314.6370612083
6.907170567954149e-08,7.273387541358817e-08,1010030.2946132915
6.613958230170759e-08,7.031112071361115e-08,1022745.9521653749
6.327135906818044e-08,6.878013869515338e-08,1035461.6097174583
6.161332302220897e-08,6.578456091156781e-08,1048177.2672695415
6.151558726323118e-08,6.625980180889445e-08,1060892.924821625
6.176809304792455e-08,6.816777691526105e-08,1073608.5823737083
6.135198407665771e-08,6.940701883088419e-08,1086324.2399257915
6.03628430063558e-08,6.841758946237268e-08,1099039.897477875
5.924643248072832e-08,6.736456267018867e-08,1111755.5550299583
5.730240327170543e-08,6.602510243639836e-08,1124471.2125820415
5.574051798656232e-08,6.350790027595194e-08,1137186.870134125
5.522921596098229e-08,6.239150621528834e-08,1149902.5276862083
5.5131759564000765e-08,6.277126435346969e-08,1162618.1852382915
5.541627452404087e-08,6.32783192152747e-08,1175333.842790375
5.570077207226561e-08,6.384899930112276e-08,1188049.5003424583
5.5889768594065246e-08,6.282824783865876e-08,1200765.1578945415
5.486933758672605e-08,6.10437294033298e-08,1213480.815446625
5.384898136911512e-08,6.113705272462774e-08,1226196.4729987083
5.254227911937726e-08,5.973462017387711e-08,1238912.1305507915
5.158572887244548e-08,5.807770215435719e-08,1251627.788102875
5.085200441205953e-08,5.7120993691894145e-08,1264343.4456549583
5.002287050399632e-08,5.657803037920194e-08,1277059.1032070415
4.8843776663898646e-08,5.673514904998781e-08,1289774.760759125
4.868297378075386e-08,5.692407849265924e-08,1302490.4183112083
4.9158541086034876e-08,5.673118366110045e-08,1315206.0758632915
4.848867586351783e-08,5.526563646648981e-08,1327921.733415375
4.7627966092309165e-08,5.4086534640564845e-08,1340637.3909674583
4.727635063198043e-08,5.306659007681249e-08,1353353.0485195415
4.74019629332888e-08,5.30011209710464e-08,1366068.706071625
4.765481806719359e-08,5.2808409874193165e-08,1378784.3636237083
4.8034902839354383e-08,5.328374983835668e-08,1391500.0211757915
4.7397040696023546e-08,5.36318192036884e-08,1404215.678727875
4.586857307600323e-08,5.3693586235987136e-08,1416931.3362799583
4.3640439360444154e-08,5.2005917167876225e-08,1429646.9938320415
4.325725601889159e-08,5.120895749295255e-08,1442362.651384125
